HMDB ID,URL,Common Name,SMILES,InChI Identifier,InChI Key
HMDB06407,https://hmdb.ca/metabolites/HMDB06407,Phosphoroselenoic acid,OP(O)(O)=[Se],"InChI=1S/H3O3PSe/c1-4(2,3)5/h(H3,1,2,3,5)",JRPHGDYSKGJTKZ-UHFFFAOYSA-N
HMDB11110,https://hmdb.ca/metabolites/HMDB11110,Hydrogen selenide,[SeH2],InChI=1S/H2Se/h1H2,SPVXKVOXSXTJOY-UHFFFAOYSA-N
HMDB11119,https://hmdb.ca/metabolites/HMDB11119,Selenite,O[Se](O)=O,"InChI=1S/H2O3Se/c1-4(2)3/h(H2,1,2,3)",MCAHWIHFGHIESP-UHFFFAOYSA-N
HMDB11620,https://hmdb.ca/metabolites/HMDB11620,Arsenite,O[As](O)O,InChI=1S/AsH3O3/c2-1(3)4/h2-4H,GCPXMJHSNVMWNM-UHFFFAOYSA-N
HMDB12190,https://hmdb.ca/metabolites/HMDB12190,Arsenate,O[As](O)(O)=O,"InChI=1S/AsH3O4/c2-1(3,4)5/h(H3,2,3,4,5)",DJHGAFSJWGLOIV-UHFFFAOYSA-N
HMDB12238,https://hmdb.ca/metabolites/HMDB12238,Iodide,[I-],InChI=1S/HI/h1H/p-1,XMBWDFGMSWQBCA-UHFFFAOYSA-M
HMDB12260,https://hmdb.ca/metabolites/HMDB12260,Molybdate,O[Mo++](O)(=O)=O,InChI=1S/Mo.2H2O.2O/h;2*1H2;;/q+4;;;;/p-2,KAZXQXRLRUTACQ-UHFFFAOYSA-L
HMDB12282,https://hmdb.ca/metabolites/HMDB12282,Triphosphate,OP(O)(=O)OP(O)(=O)OP(O)(O)=O,"InChI=1S/H5O10P3/c1-11(2,3)9-13(7,8)10-12(4,5)6/h(H,7,8)(H2,1,2,3)(H2,4,5,6)",UNXRWKVEANCORM-UHFFFAOYSA-N
HMDB12288,https://hmdb.ca/metabolites/HMDB12288,Tellurite,O=[Te]=O,InChI=1S/O2Te/c1-3-2,LAJZODKXOMJMPK-UHFFFAOYSA-N
HMDB12916,https://hmdb.ca/metabolites/HMDB12916,Cyanosulfurous acid anion,O[S](O)C#N,InChI=1S/CH2NO2S/c2-1-5(3)4/h3-4H,QYFNKYSGTDITHU-UHFFFAOYSA-N
HMDB12943,https://hmdb.ca/metabolites/HMDB12943,Iron,[Fe+3],InChI=1S/Fe/q+3,VTLYFUHAOXGGBS-UHFFFAOYSA-N
HMDB12973,https://hmdb.ca/metabolites/HMDB12973,Hydrazine,NN,InChI=1S/H4N2/c1-2/h1-2H2,OAKJQQAXSVQMHS-UHFFFAOYSA-N
HMDB12974,https://hmdb.ca/metabolites/HMDB12974,Hypothiocyanite,OSC#N,InChI=1S/CHNOS/c2-1-4-3/h3H,ZCZCOXLLICTZAH-UHFFFAOYSA-N
HMDB13667,https://hmdb.ca/metabolites/HMDB13667,Yttrium,[Y],InChI=1S/Y,VWQVUPCCIRVNHF-UHFFFAOYSA-N
HMDB13668,https://hmdb.ca/metabolites/HMDB13668,Ruthenium,[Ru],InChI=1S/Ru,KJTLSVCANCCWHF-UHFFFAOYSA-N
HMDB13669,https://hmdb.ca/metabolites/HMDB13669,Cesium,[Cs],InChI=1S/Cs,TVFDJXOCXUVLDH-UHFFFAOYSA-N
HMDB13670,https://hmdb.ca/metabolites/HMDB13670,Palladium,[Pd],InChI=1S/Pd,KDLHZDBZIXYQEI-UHFFFAOYSA-N
HMDB13671,https://hmdb.ca/metabolites/HMDB13671,Platinum,[Pt],InChI=1S/Pt,BASFCYQUMIYNBI-UHFFFAOYSA-N
HMDB13672,https://hmdb.ca/metabolites/HMDB13672,Cerium,[Ce],InChI=1S/Ce,GWXLDORMOJMVQZ-UHFFFAOYSA-N
HMDB13715,https://hmdb.ca/metabolites/HMDB13715,Neodymium,[Nd],InChI=1S/Nd,QEFYFXOXNSNQGX-UHFFFAOYSA-N
HMDB13719,https://hmdb.ca/metabolites/HMDB13719,Rhenium,[Re],InChI=1S/Re,WUAPFZMCVAUBPE-UHFFFAOYSA-N
HMDB13724,https://hmdb.ca/metabolites/HMDB13724,Thallium,Cl[Tl],InChI=1S/ClH.Tl/h1H;/q;+1/p-1,GBECUEIQVRDUKB-UHFFFAOYSA-M
HMDB14470,https://hmdb.ca/metabolites/HMDB14470,Nitroprusside,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,InChI=1S/5CN.Fe.NO/c5*1-2;;1-2/q;;;;;2*-1,ASPOIVQEUUCDQT-UHFFFAOYSA-N
HMDB14656,https://hmdb.ca/metabolites/HMDB14656,Cisplatin,N[Pt](N)(Cl)Cl,InChI=1S/2ClH.2H2N.Pt/h2*1H;2*1H2;/q;;2*-1;+4/p-2,DQLATGHUWYMOKM-UHFFFAOYSA-L
HMDB15106,https://hmdb.ca/metabolites/HMDB15106,Selenium Sulfide,S=[Se],InChI=1S/SSe/c1-2,VIDTVPHHDGRGAF-UHFFFAOYSA-N
HMDB15300,https://hmdb.ca/metabolites/HMDB15300,Arsenic trioxide,O1[As]2O[As]1O2,InChI=1S/As2O3/c3-1-4-2(3)5-1,GOLCXWYRSKYTSP-UHFFFAOYSA-N
HMDB15456,https://hmdb.ca/metabolites/HMDB15456,Aluminum,[Al],InChI=1S/Al,XAGFODPZIPBFFR-UHFFFAOYSA-N
HMDB15531,https://hmdb.ca/metabolites/HMDB15531,Iron,[Fe+3],InChI=1S/Fe/q+3,VTLYFUHAOXGGBS-UHFFFAOYSA-N
HMDB15532,https://hmdb.ca/metabolites/HMDB15532,Zinc,[Zn++],InChI=1S/Zn/q+2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
HMDB29201,https://hmdb.ca/metabolites/HMDB29201,Hafnium,[Hf],InChI=1S/Hf,VBJZVLUMGGDVMO-UHFFFAOYSA-N
HMDB29215,https://hmdb.ca/metabolites/HMDB29215,Thorium,[Th],InChI=1S/Th,ZSLUVFAKFWKJRC-UHFFFAOYSA-N
HMDB31433,https://hmdb.ca/metabolites/HMDB31433,Sulfide,[S--],InChI=1S/S/q-2,UCKMPCXJQFINFW-UHFFFAOYSA-N
HMDB31434,https://hmdb.ca/metabolites/HMDB31434,Bromine,BrBr,InChI=1S/Br2/c1-2,GDTBXPJZTBHREO-UHFFFAOYSA-N
HMDB32439,https://hmdb.ca/metabolites/HMDB32439,Nitric oxide,[N]=O,InChI=1S/NO/c1-2,MWUXSHHQAYIFBG-UHFFFAOYSA-N
HMDB34769,https://hmdb.ca/metabolites/HMDB34769,Boric acid (HBO2),OB=O,InChI=1S/BHO2/c2-1-3/h2H,VGTPKLINSHNZRD-UHFFFAOYSA-N
HMDB34789,https://hmdb.ca/metabolites/HMDB34789,Phosphoryl chloride,ClP(Cl)(Cl)=O,"InChI=1S/Cl3OP/c1-5(2,3)4",XHXFXVLFKHQFAL-UHFFFAOYSA-N
HMDB34790,https://hmdb.ca/metabolites/HMDB34790,Phosphine,P,InChI=1S/H3P/h1H3,XYFCBTPGUUZFHI-UHFFFAOYSA-N
HMDB34825,https://hmdb.ca/metabolites/HMDB34825,Nitrosyl chloride ((NO)Cl),ClN=O,InChI=1S/ClNO/c1-2-3,VPCDQGACGWYTMC-UHFFFAOYSA-N
HMDB34826,https://hmdb.ca/metabolites/HMDB34826,Chlorine oxide,O=[Cl]=O,InChI=1S/ClO2/c2-1-3,OSVXSBDYLRYLIG-UHFFFAOYSA-N
HMDB34827,https://hmdb.ca/metabolites/HMDB34827,Nitrogen chloride (NCl3),ClN(Cl)Cl,InChI=1S/Cl3N/c1-4(2)3,QEHKBHWEUPXBCW-UHFFFAOYSA-N
HMDB34828,https://hmdb.ca/metabolites/HMDB34828,Nitrosylsulfuric acid,OS(=O)(=O)ON=O,"InChI=1S/HNO5S/c2-1-6-7(3,4)5/h(H,3,4,5)",VQTGUFBGYOIUFS-UHFFFAOYSA-N
HMDB34829,https://hmdb.ca/metabolites/HMDB34829,Sulfite,OS(O)=O,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)",LSNNMFCWUKXFEE-UHFFFAOYSA-N
HMDB34830,https://hmdb.ca/metabolites/HMDB34830,Amidosulfonic acid,NS(O)(=O)=O,"InChI=1S/H3NO3S/c1-5(2,3)4/h(H3,1,2,3,4)",IIACRCGMVDHOTQ-UHFFFAOYSA-N
HMDB34831,https://hmdb.ca/metabolites/HMDB34831,Orthoperiodic acid,O[I](O)(O)(O)(O)=O,"InChI=1S/H5IO6/c2-1(3,4,5,6)7/h(H5,2,3,4,5,6,7)",TWLXDPFBEPBAQB-UHFFFAOYSA-N
HMDB34834,https://hmdb.ca/metabolites/HMDB34834,Sulfur dioxide,O=S=O,InChI=1S/O2S/c1-3-2,RAHZWNYVWXNFOC-UHFFFAOYSA-N
HMDB34906,https://hmdb.ca/metabolites/HMDB34906,Zinc dithionite,OS(=O)S(O)=O,"InChI=1S/H2O4S2/c1-5(2)6(3)4/h(H,1,2)(H,3,4)",GRWZHXKQBITJKP-UHFFFAOYSA-N
HMDB35409,https://hmdb.ca/metabolites/HMDB35409,Ozone,O1OO1,InChI=1S/O3/c1-2-3-1,XQOAKYYZMDCSIA-UHFFFAOYSA-N
HMDB35659,https://hmdb.ca/metabolites/HMDB35659,Silica,O=[Si]=O,InChI=1S/O2Si/c1-3-2,VYPSYNLAJGMNEJ-UHFFFAOYSA-N
HMDB35731,https://hmdb.ca/metabolites/HMDB35731,Boric acid (H3BO3),OB(O)O,InChI=1S/BH3O3/c2-1(3)4/h2-4H,KGBXLFKZBHKPEV-UHFFFAOYSA-N
HMDB35807,https://hmdb.ca/metabolites/HMDB35807,Nitrous oxide,[O-][N+]#N,InChI=1S/N2O/c1-2-3,GQPLMRYTRLFLPF-UHFFFAOYSA-N
